Emotion,clean_text
sadness,day left first girlfriend
anger,joan thorough drag
anger,felt anger colleague mine rehearsal acting learnt text opera act course several months thus making difficulties rest colleagues
sadness,made camp grumbled henry rather like sad child
fear,first came university know kind people would find kind behaviour would towards
sadness,grandmother second mother died
sadness,guy cared went back canada live
joy,sister born
fear,experienced feeling doctors found nodule one mother breasts turned occlusion resulting continious sucking days reason
neutral,sure open classes
neutral,oh possibly
fear,sitting car next man masturbating
anger,told computer teacher want teach beacause prejudice
anger,certainly arrive way
sadness,stared hard know disconsolate woman chill room sorrowful face night outside
fear,one horrified look told daisy already sunk pasterns
fear,relationship seem improving obviously worried seem paying expected
joy,cheeks already aglow combination heat exhilaration centre attention lent extra youthful radiance beauty
joy,oh like beautiful dance well
sadness,felt sad leave girlfriend constant problems failed attempts reconciliation sadness caused irreversibility decision
joy,highlight whole tournament almost irrespective performance field south africa emergence woods coming cold generating great excitement
joy,four children
fear,feel anxious getting first lot seeds sown doors
joy,yes looks interesting
anger,tony father interviewed said felt angry tony taken tablets especially girl friend pat found tony unconscious
anger,mother told could go mountains despite age long house must says
anger,last exam
anger,brother told person know insulted fond brother get angry hurt protectiveness aroused got angry
sadness,still school friend died cancer ill long time yrs old
joy,sportwoman well felt joy year practice contest covered norms master sports
fear,taking trip crocokile country fell boat motivated fear eaten perform great swimming feats
neutral,better take medicine good rest hope pretty soon
anger,insulted teacher
fear,repton boy horror churchill anti bolshevist campaign turned adult less ferocious criticism
anger,recent visit day centre served younger disabled old people told old people envious resentful computer learning introduced younger disabled people
neutral,beg pardon
neutral,think korea marriages break couples stay together
anger,concentrating work friend disturbed continously asked stop vain
joy,first heard like boyfriend
joy,seeing relations overseas years
sadness,pity missed
joy,birth children
fear,went visit friend hospital going operated next day afraid would let know reaction would seeing
neutral,ho
neutral,mario puku
joy,dancing restaurant last week
sadness,oh computer crashed
anger,someone trusted much disappointed
anger,discussing certain person job getting perosn negative pessimistic
joy,lot things part old people accept old stop feeling restless really read
neutral,get lonely
joy,thank beautiful hang coat try new couch comfortable love want something drink tea coffee juice cola
sadness,uncle died leukemia age
joy,economics remember
joy,admitted language school day informed message parents congratulated
neutral,big head
anger,father get back chipata time thus holding back progress everything depended felt angry actions
fear,walk three kms field wild bulls car broken
fear,idfrabbi qui se finit comme friend israeli soldier mossad agent qui follow sur twitter faret
neutral,makes lot sense tv work well
joy,everyone seemed pleased arrangements philippe made rose
joy,able buy new car lots problems
neutral,hi andy
anger,mother kept leading strings
fear,walking along hill fell carelessness broke left arm
anger,accused something done get unbelievably angry
neutral,excuse
joy,nice
joy,months trying contain excitement thought compact disc
sadness,nodded went bit knock relationship man london miserable elise death
joy,finally asked someone banquet
joy,nurse sent accompany leslie tried hard melt background overjoyed family spent several hours opening presents tree
anger,friend mine came visit stayed roommate roommate became good friends left talk highly
anger,angry watched ski race austrian skiers dropped
anger,ended finding lady night girl cafe near home
neutral,kind music like
sadness,slept tent barracks caught fire night best possessions got burnt
joy,first time life telling someone loved
fear,biggest fear needles stand getting shot
sadness,maybe difficult period family experienced
fear,weather bad fog slipperiness newcast reports many traffic accidents boyfriend driving home still kilometers go
fear,horrified somebody would thing
joy,get something seemed hard like getting job boyfriend etc specific sutuations started date boy liked long time
neutral,titanic
fear,think someone stalking
anger,friend mine trying make fool
sadness,school
anger,treats everyone pretty badly way treats really takes cake
anger,really angry president general arrested policemen
neutral,next june
joy,holiday white sand deserted beach cool evening near end summer fire sand toasted marshmellows cuddled drank champagne
fear,leads highly agitated motions correspondingly high temperatures
fear,let look whoa get away
fear,life know break leg
anger,friends betrayed friendship
sadness,miserable beginning
fear,way back denmark friend small yatch storm friend blown overboard scared till managed get back onboard
joy,december th filled joy told bosses selected attend course school health scienced london
fear,problem attention fearful possibilities attracting force stop quick cheryl janecky loa anxiety
anger,library medical psychology walked wrong direction man came room threated denigrating became angry resisting manner
joy,lectures sensed unexpressed understanding boy know exchange glances think likes like perhaps fallen love
fear,first day university know expect
joy,happy hear publishing talking writers involves lot work patience responsibility work boring
neutral,sure
joy,harvard
fear,aftermath war government said concerned turkey increasingly prominent international role
joy,possibility getting better professional life valorized much aspect people showed possibility real fact even
sadness,unless given opportunities express grief appropriate ways include weeping loss never able acquire creative energy necessary find new job
fear,like sharing feelings im scared run admit something
sadness,remembered got give speech class today forgot prepare
fear,clarify winning game terror war america terrorizes like fucking one still plenty
anger,addiction checking emails text messages often called addiction way
fear,phone starts falling towards face save amazing
neutral,margaret really told found forgotten try phone jane must gone
neutral,whatever important perseverance hang longer better day find already made lot progress
anger,girlfriend two years told
anger,thought good friend tried lie several times last time height impudence promised would come home felt sense anger insult
fear,scared went examination hall sc examination studied limited partion course thoroughly great doubt whether would asked
sadness,yesterday heartbroken teenager verge trials royal ballet said one second life wrecked
fear,college started discussion teacher referring question posed felt unsure afraid fail
joy,like pier beautiful night
sadness,grandmother died mother called one sunday morning autumn way mother told hated moment sounded waiting death grandmother lost person close felt guilty bad grandmother late remained calm longer understood everything well
fear,heartstopping moment think pulled headphones silent library
sadness,wandered around state utter dejection belonging nowhere
joy,received good news obtained amount money needed buy something planning buy
anger,brother
sadness,anguished voice tailed intensify effect
anger,scientists sides man land become bitterly indignant someone points external influences
joy,met good friend mine long time
fear,burglars guns forced house ordered give money face death
sadness,found person went school died car accident
anger,shackel became indignant said would fetch magistrate complain chief constable attitude
anger,de gaulle incensed ordered massu recall paris advice several senior advisers insisted massu permitted return command
joy,told passed statistics exam expected happy
neutral,snow
anger,profit share scheme reduced many members expressed great annoyance another scheme within bank netted two former members staff britain almost
sadness,yes wallet stolen
anger,someone listen asked repeat said happened one time person
sadness,leapor still downcast loss job perhaps unable write much poetry met freemantle
joy,got job right school
sadness,girl friend left
neutral,ok ok whisper promise tell anyone
neutral,maybe ask mother
joy,susan inviting frank house warming party weekend
anger,sister took things without asked permission first
joy,feet taking hand smiling telling delighted meet
fear,yes bike one seat get quick
sadness,know failed exam
fear,nothing else perverted faith ability fear proof ability believe
joy,passed first examination repeat
anger,staunchly pro monarchist daily telegraph said bbc chairman marmaduke hussey whose wife lady waiting queen elizabeth ii miffed one told interview
sadness,thought already agreed everything going take weeks rework
fear,skiing icy slope fast white conditions control idea heading
fear,seems anxious people condition easily thought irrational fears established way
fear,petrified thing mother
anger,yes true damn lost half paper even homework bad time happen
sadness,complete heartbreak car broke looking ninth win season italian grand prix
anger,made look like fool girl
sadness,accepted classmates university
anger,told love
fear,smell smoke
sadness,elder brother expelled college frustated attempted suicide drank bottle fragments sad learnt
neutral,bank coffee shop opposite bank
fear,one final exams third year natural sciences
anger,mr brown livid way billion precious foreign reserves poured drain sterling fiasco fortnight ago
anger,beaten thieves behalf friends mine thought lot money would part coins drinks
joy,delighted bring conference support members portsmouth
joy,six months ago got acquaintances person trusted infinitely expected help friendly feelings found much common views fate
sadness,sorry hear
sadness,asked beef work
neutral,upsets
anger,go lightwater valley said equally affronted bus driver
sadness,mum watching movie
anger,absolutely unbelievable people ashamed
joy,dance beautifully
sadness,heard uncle passed away road traffic accident
neutral,note
neutral,sixties party next week want come
fear,think death parents brothers sisters
joy,told passed exams
sadness,try lot pressure right
sadness,sorry say seem lost key safe
anger,subjected nasty joke group friends
neutral,hi joe
sadness,understood marriage falling apart decided legally separated
anger,thames valley police known furious case
joy,morning ecstatic triumph seducing dog owner daughter completely forgotten jamila big decision
fear,went see movie went friend really frightening made stop think world around really like frightened night
anger,student union someone took photocopies two large volumes asked let take refused acceptable reason
anger,angry brother argument together fights time time also times take anger
anger,unfair unjust attitude toward person close witness caused anger
anger,mistreated people
anger,kill work see number slakers wandering around nothing
fear,joe rogan back factor
joy,proud
fear,heard teasing bulling secondary school
joy,felt joy heard radio successful primary school leaving certificate examination selected secondary school
joy,selected start form malosa secondary school
joy,feeling awesome
sadness,right
anger,checked examination paper realized careless thoughtless lazy hasty make unnecessary mistakes concerning things know understand
anger,felt angry friend told stolen money
fear,alone cottage often stay woken rustling sound middle night
anger,father angry leave early
fear,painful situation definition damned damned life love therightthing
neutral,true
anger,friends try put hurt
neutral,hmm
neutral,love trying new recipes usually test friends come
fear,mysterious ticking noise somewhere bed puppet pals kind scared
anger,research months ago asked institute sponsor computer course held tiss however administrative officer could get money
neutral,evening
anger,cross nanny saying bad things smallfry would make buddie angry
fear,lcduve touching kitten much happening
sadness,extent adults choose free whether deal grief
joy,thanks helping move new house
fear,weeks back important seminar circulated papers panel members day seminar realized inadvertantly burdened certain derivations failed correct feared would reflect badly performance fortunately none panel members detected felt relieved
anger,felt girl dear lied face got angry fact knew believe kept telling lies
fear,embarking university life came different city know anybody uni frightened well known loved friends also security taken away
fear,typically gould infrequent letters home detailed ornithological exploits much dismay household desperate hear news personal nature
joy,gleeful opposition leaders tory euro sceptics said government handling maastricht descended shambles
sadness,really dreadful accident many people killed
fear,little maureen agitated made nice speech
joy,situation seemed hopeless moved back parents father went without saying anything normally ofter grumbles
anger,prejudice psychology students education students allowing us go medical university lectures
fear,car accident middle night
neutral,ask think guilty
anger,still mad lucy something lucy sure little time concentration would tell moment somehow knowledge reach
neutral,free weekend
anger,talking party first time long friend came interrupted us left
sadness,father died suddenly heart attack
neutral,class
anger,boy drunk insulted front crowd stopped punching
joy,everybody gets excited three hundred fifty kilos durham tomorrow morning sounds like good pay day
neutral,going work australia back china
anger,peers want meet someone rush fear would give bad outlook sororoty house seen blew
neutral,ready
fear,eat taco bell first time years
joy,got examination driver licence finished knew passed
neutral,course top level coaches state sports general administration
neutral,help
anger,one day discussed important question suddenly declared would accept position thought right moreover attacked strongly opinion personally
sadness,friend mother died
sadness,house robbed last night thieves stole furniture
anger,oh thought seemed bit strange
joy,perfect audition weekend house
anger,must mad expect delicate business preparation vologsky speeded though crude operation factory bench
sadness,last year worked summer holidays studied time examination repeat boyfriend went greece holiday month
fear,wanted violinist real ambition anxious really get grips instrument
fear,crashed car
neutral,old lady trimming trees
anger,friend attend important meeting promised come pick turn felt angry
fear,car parents friends back reverse pass river recall yrs seemed going fall drown
sadness,aunt loved much died heard death touched funeral really became conscious death moment
neutral,fixed
neutral,around pm
joy,mr souness jim smith portsmouth manager emphasised delighted overall quality yesterday tie
anger,know
sadness,nothing really
fear,op school bezig met fm aan zeker vet haha
anger,tried show pleasure decision time annoyance contract simply permit
sadness,sorry ask next time
anger,except gets cross us sometimes
anger,juniors dormitory school started complain make lot noise duties assigned prefect class mate cool dull
anger,saw tv south korea cheating asian olympic games
joy,lennox always truly wanted fight world title happy taking tough route
fear,may cases parliamentary disquiet ministerial proposal minister change mind
joy,imagine excitement therefore seemed recently might stumbled across shape tower house malmesbury wiltshire
joy,lady wife accepted proposal lover future wife
joy,army result shooting exercises got three day furlough
neutral,boyfriend says work much spend time
sadness,came know feelings someone reciprocated
neutral,china
fear,like red headed male step child come closet got black sheep pet
sadness,interpersonal arguments difficulties also common feature experiences depressed patients comparison group
fear,bet would jump window sure would jump rather felt fear
joy,come
joy,pleasure come side
neutral,could talk minutes grades
anger,face livid bloody
joy,family allowed higher studies
sadness,girlfriend dumped
joy,spent lovely relaxing evening boyfriend played games talked evening
anger,son omits carry certain duties home knows needs
joy,normally happy sunny person felt vague disquiet though changing without wanting
neutral,work shanghai
sadness,sir really sorry
sadness,pity afraid loud thank
sadness,let see sorry table
anger,also happened small beaten mother fault mine beaten younger brother thought fault angry mother
anger,thought perhaps still mad
anger,wrong quit
anger,gosh another stop seems cars ahead us stop every two minutes quicker bus
anger,new neighbor hate guts
neutral,big deal picture woman
joy,noticed amusement tapestries hanging illustrated seven deadly sins
joy,hate disappoint anyone case although veiled hints caused us plenty amusement
fear,smh wus wrong wit niggas days another eyes smh lot niggas lie
sadness,failed oral test
joy,unofficially informed results final examination secondary school teacher wrote went outside started crying joy
anger,sounds like job better one
fear,shoulder operation woke hospital room alone pain still heavy medications could find parents
fear,large crowds manic football fans mascots
anger,commons labour mps unleashed anger liberal democrats promising back government
fear,housesitting hearing alarm go knew someone breaking called police panicking phone awful turns stepped hidden alarm without prior knowledge existance
joy,understood mother wedding although necessary expected nothing appear contented
neutral,yeah one closes ten could drive hour store sixth
fear,south africa must worried easily get close line know carling jeremy guscott amongst quickest world
neutral,correct time please
anger,religion teacher presented shocking sectarian thoughts doom day official teaching
sadness,operation may feel sick depressed effect trauma operation anaesthetic
joy,que bien sentences poems habeas en espanol
fear,facing mad dog
fear,tonsils making mind almost year afraid two hours hospital room waiting called operation felt real fear pain going unknown
fear,loving atleast allowing fall person know prolly fall yet feels ryt
neutral,pretty much feel step mother like grandmother like grandson
sadness,remember mother died day sad every time think saddened loss mother
fear,one day christmas went shopping brother friend good time way home almost accident weather bad
joy,animal seemed take perverse delight terrorizing
joy,good morning emma lovely day
sadness,railway station good bye
joy,old schoolfriend phoned arrange appointment talk old memories seen years
sadness,mother went operation serious sad could sleep operation
joy,winning game long time losing
fear,felt afraid losing somebody love another person incomprehensive person lots time fight person
anger,fight class mate
joy,easter holiday working weekends left
fear,little lost control bike started go buay intersection neighbor stopped time
sadness,sister coma months due train accident brainfunctions disturbed never able walk hardly talk
neutral,good bye
sadness,would expect overcome grief
neutral,like feeling cooperating others
joy,feeling outstanding
anger,friend promised give lift graz sure called went told promised another person give lift
sadness,begining new course one afraid encountering problems one manage thoughts revolve around failing subject consequences would future
sadness,ryan spent one night roof remembered bitter anguish
joy,father stayed abroad one year like write letters makes ortographic mistakes never good relation wrote letter said loved
fear,work looks like broken need get hospital drive
fear,teacher wanted instill certain opinion certain behaviour refused afraid saw
sadness,poor femi taylor death must made realize still cared
anger,restaurant observed gypsies tried get money cheating foreigners non swedish speaking anger nothing hatred foreigners expression anger feel see people used
anger,ashamed retorted taut anger reference mother
anger,coming home taxi fellow worker mine criticizing earlier conduct towards mind unfounded reached home ran taxi slammed door
sadness,thought instant good relationship person finished
joy,two female classmates lunch chatted cracked jokes happy however felt may said something inappropriate might cause bad impression
fear,came back work one day friends son told come back school lost
anger,mr jones exploded anger
joy,perhaps right still need time recover failure
joy,understood admitted university
fear,find sprinting doesnt hurt much hamstring leaving
fear,jim could nonetheless tell anxious face something wrong
fear,week exams came got afraid would tackle questions
sadness,makes sad think growing
joy,last summer achieved someting wanting long time
neutral,www man
sadness,grandmother friend died hospital friend crying sad
joy,th street
neutral,oh yes love playing badminton table tennis computer games playing games become favorite
sadness,boy broken hearted inconsolable
anger,battled flood relief reprieved anger vile deception
neutral,agree would find difficult stop using car convenient
fear,particularly concerned shortly wedding day discovered prince charles planned give friend bracelet inscribed nicknames fred gladys
joy,day heard passed high school exam
joy,every time got near backed ecstatic excitement tail wagging furiously
anger,fine way would mind slurping coffee every time cup
neutral,made mind getting tattoo
anger,people simply miffed red tape applying victim identification cards qualify yen
anger,mexico miffed telmex telephone company gain entry american marketplace
sadness,sorry accept credit cards cash
neutral,really people get married beforethe age
sadness,boy friend seperated initiative
fear,oral examination take eventually
anger,ref needs glasses hey ref open eyes believe see
fear,years ago father ill stayed hospital long time experienced terrible feeling might lose
anger,lissa gazed vexed expression tried quell smile pulled lips
anger,new year eve party country hardly knew person partner spent time bar little opportunity get know people table separated boyfriend parents present
sadness,yes managed sort problem tied matter hour
neutral,fine
sadness,lecturers unfair reports
anger,teacher former secondary school forced darling marry girl tried refuse parents would leave alone
fear,dark suspicious looking character comes towards
joy,could study university
anger,sister promised help translation english german day needed told busy angry
sadness,worked seven months factory made friends fellow worker later visited former fellow workers told army friend shot
neutral,car
anger,bus driver failed stop pick bus stop
sadness,well last exams father knows beat
neutral,feedback audience great care think critics think
neutral,problem
neutral,ok get around evenings
joy,saw year old sister home waited night knowing
neutral,darn grocery store closed
sadness,oh failed sure
fear,father ill waiting results tests
joy,friends
sadness,death jaya prakash narayan caused great deal sadness believed true democrat ray hope indian horizon
joy,sister gave birth twins healthy ones
sadness,alone listen song like much listened together friends
sadness,love know got another appointment really sorry
sadness,knew go mother errands
joy,pre university appreciated examplary student pricipal something made feel happy
joy,like waltz
anger,prefect secondary school sports day told others would take names people misbehaved time sat brief rest suddenly head prefect came scolded front others angry prefects sitting picked thought brief rest serious enough blamed
fear,nine went home bike dark cycle track lack time take short cut
sadness,three weeks ago friend mine bid good bye going abroad felt happy achieving something making trip also felt sad would seeing long time
sadness,lead rather secure life thing remember song nineteenth century alcohol melody word although naive effected emotions
joy,cambridge results came obtained first division thinking done well
neutral,woo easy
neutral,think newspaper article talks problems aging population problem soon affect world
fear,scared cats
sadness,tolonen nodded suddenly wistful lips formed sad smile
sadness,bad need discuss plans
fear,actually made quite nervous london
fear,andreashuebner nothing else perverted faith ability fear proof ability believe
anger,asked stop studying economics field interested employers
neutral,mon blame thought new camera could use even thinking buying camera understand could perfect looking box
joy,new concert hall acoustics great
neutral,ok
neutral,hold always matter together tackle whatever life throws us believe us steven
sadness,bombay one good friends getting married informed made sad
sadness,missed train morning felt sad time
anger,residential workers faced youngsters anxious resentful family events may also mistrustful try help
neutral,oh yeah
anger,moment felt anger unfeeling attitude common sense prevailed
fear,friend mine discussed felt fear losing occurred missunderstanding mutual colleagues
anger,failed exam thought would pass
sadness,address underlines anguish majesty speech windsor castle fire referred annus horribilis
joy,seriously happy staying
anger,compere party efforts get show rolling thwarted immobile non co operative guests felt frustation bordering anger
anger,discussion leader wanted stop opinion involved misjudged reactions negative however posed several questions answer
joy,party met interesting female enjoyed eachothers company slow dancing
sadness,chosen english class
joy,feeling positive
neutral,bob
sadness,paternal grandmother died close blood cry sad partly due death partly think due fact could cry
sadness,funeral grandmother saw mother family members crying
sadness,rejection ignored loved person held great esteem
joy,got know passed university entrance exam thought done one exams badly
neutral,better prepare examination
anger,flatmate asking questions relationship boyfriend whether treating unfairly claimed treating result angered became defensive
fear,coming home relative place felt slightly apprehensive got bus started walking towards place confident nothing would happen yet slight feeling fear
fear,child home alone felt indefinate manner afraid death father mother
neutral,someone got head give tug
fear,person mentioned suspicion pregnancy
neutral,simple men shake hands women children
sadness,grandmother passed away
anger,friend forgot appointment
sadness,friend pass high school graduation examinations
joy,accepted university
neutral,ask
fear,adoption agent put folk thru ringer get kids old travionica jenkins bust em keep
joy,thank steve always encouraging
neutral,ya
joy,ok call saturday morning
anger,told boy friend park certain place car would ger towed away listen towed away stage finances poverty line cost us money get us week including rent
anger,answer question directly would chinese answer questions way simply asked simple question chinese often give reason would give direct answer
sadness,felt sad two situations described cat school sadness intermingled feelings
anger,brother took money use purposes
joy,boyfriend last told loved gave impulsive kiss
sadness,one visits found representative occidental oil company stranded looking miserable bedraggled morass mud pouring rain
neutral,fashionable
anger,suppressing annoyance called little sara replied well
fear,taking short cut vasa park surrounded three people tried steal money scared saved appearance people
anger,robots said gave means venting anger remark whose logic baffled read another logic alone explain
fear,took first year university exams made lot mistakes exam afraid failing thus unable go school medicine
fear,one night got university saw two strange people near car got near moved away came close feeling assaulters left discovered windshield broken
fear,home alone mother asked heat house put much fuel stove began glow noise whole house going explode
joy,two observers exchanged amused glances wandered away trees
sadness,got laid today
sadness,derby county grief foot first division continues went two one crystal palace
anger,cat eaten fish kill
neutral,poor girl
neutral,ten
joy,went picnic lonavala felt full joy
fear,saw world without borders flying sun trees love dreams reality
joy,time elated go back vices said mr tyson
sadness,loss close friend relative feel grief away home
joy,wave cheerful elation swept separated pound note yanto fivers
sadness,saw maud kurfrstendamm eating alone cafe looking little desolate stack coins already piled beside plate although meal come
sadness,sir sorry
fear,age foster grandmother died fear dying
anger,sometimes go work crazy boss hyper jewish lawyer insists things way filing typing etc sometimes blames things yell back
anger,made error planning programme publicly accepted mistake despite repeated requests bring matter discussion professor kept constantly passing remarks reacted angrily
joy,order admitted final examination pass two examinations studied much resigned left behind nevertheless succeeded examinations
fear,courage knowing fear plato
fear,must give must face things
anger,end jane want girlfriend goes guys time
neutral,heads
anger,one winter day unwillingly outdoors younger brother years younger lost temper wanted throw brother snow bank pushed hard wanted alone two us
sadness,father pleased elected
sadness,depressed tried commit suicide several times
sadness,got separated man loved
joy,got first division exams leaving school
joy,annual sales brake record month month earnings exceeded forecast well two year slump finally back black
fear,yesiamquest would offend listen otfailure song thinking girls
neutral,two hand touch flag football
neutral,easy exercise everyday make
fear,afraid jump height
fear,important amount money felt fear assaulted
sadness,manager jumped mistake today
fear,says childine must survive proved lifeline thousands frightened lonely distressed children
anger,agreed share taxi expenses three people back car ran leaving person front entire bill
anger,young king drew back doubtless father immense exasperation refused accept richard homage
anger,someone spread rumours
fear,primary school teacher caught cheating dictation
anger,bang bang bang kings seven clock sunday morning
anger,know going bite dust going hill almost got killed chair lift going embarrassing
anger,get good think
fear,follow twitter official officialpwg results coverage
joy,younger dons ecstatic election
anger,see people around pass certain unjustice indifference cowardice
joy,became happier settled
joy,happy could make favourite jockey
anger,man kept seat taken putting coat chair still empty asked could use chair agree chair coat
anger,love beautiful girl went back holidays found wth another guy said friend later found together convinced something fishy
joy,pleasant conversation one friends
neutral,regrets
joy,great
fear,happened staying anaunt place discovered afraid sleeping pitch darkness room sister sharing light would refuse sleep without light adjoining bathroom switched
anger,girl trusted shared personal confidential matters twisted facts told common friend common friend told version friend told angry
fear,startled little frightened patrick headed foyles hoping lose followers bookshop maze nooks corners
neutral,yes manager madam
sadness,sorry near sighted
joy,know could imagine confess seldom seen face figure pleasing
neutral,yuan
joy,smile amusement played lips studied unkempt prize
fear,spent night friend secondary school told horror stories suddenly heard uncanny noises terribly frightened
joy,informed accepted student psychology
joy,met girlfriend another town long separation
anger,went fair guy drunk kept bothering end got really angry
anger,well might pinch eyelid lose eyeball
joy,situation differs person
anger,arrested without probable cause
neutral,really
neutral,women shake hands lot children good manners shake hands
anger,know really important whole life could ruined man
fear,crossed london forest heard rabid hyena near path forest
fear,way scared wits
anger,arranged holiday paris girlfriend raised criticisms time
anger,boyfriend chatting another girl
fear,rspca says try different tactics attempting gain animals trust frightened people
joy,married wife took home first time
anger,always like told many times tell
joy,glad twenty things hurry get home
fear,love love love da onli thing truly
neutral,style wear boxers
fear,hard something feel like ready ready jump
joy,fun get anything want
neutral,change attitude pass course
sadness,watching old lady running street catch bus miss reminded mother dreadful would situation
anger,many chances give given
neutral,would like register class today
joy,christmas holiday started felt joyful finished last exam
joy,found girl love loves
neutral,like baseball basketball
neutral,ok next
anger,went school library asked book librarian told however colleague asked gave
fear,cloud asked lotza personal questions avoiding upgrades awhile due cylontakeover fb
fear,caused good deal consternation dismay westminster
sadness,glenn close stubborn pain ridden performance sunny makes sad hate time
fear,caught suspicious individual one evening turned police turned frightened bilberry picker lost way
anger,leonora lay rigid arms resentful carried like bundle laundry
fear,alone home bed reading womens magazine storiees paranormal experiences leg itching stretched hand scratch felt another strange hand later realized corner blanket
sadness,course like utterly miserable
sadness,bad sorry
anger,friend usual forgot tickets home performance missed
neutral,online edition magazine
sadness,uncle died felt sad funeral
anger,unfair
sadness,girlfriend decided finish relation
neutral,learn
joy,wedding standing man love acknowledging fact members family friends
sadness,husband lied tricked leave home
joy,travellers might get used jet lag sense learn live might find progressively irksome initial excitement travel begins wear thin
joy,considered thoughtfully gleam amusement came eyes
fear,country western suitable calming agitated animal
joy,cool man everyone fed rush hour traffic life really take initiative make changes first
joy,mumm burgers smell great perfect day barbecue
joy,unexpectedly well exam
fear,many beef farmers constituency monmouth deeply anxious impact macsharry proposals
fear,wait see return factor tomorrow wife however
anger,person trusted lot gave many false explanations justify wrong action
anger,travelled way former school collect certificate told owed money knew nothing
fear,false evidence appearing real
fear,average adult spends four years life suffering hangover kellymcquaid lisa shanley today ha ha
joy,neither peter conceal excitement back limelight
anger,waiter
sadness,miserable end
joy,studying medicine
fear,hate trucks hate truckers omg hate trucks
joy,well whatever feel transformed
joy,boyfriend went dinner subsequently went family nice evening
sadness,thank really want relax sorry
joy,warden wife owners siamese cat overjoyed see emily reluctantly fed saucer milk saying could stay one night
anger,man stranger personally insulted close woman friend mine public
sadness,got mathematics test marks could believe true past would least marks getting weaker studies made feel expect much going university
sadness,took things hurt
fear,slept chapel middle night realized someeone else chapel never discovered
joy,delight everything saw beyond bounds gardens allotted sister self canal fish pony ride besides animals different kinds
joy,great also thinking getting one think could ask jane quiet word margaret birthday far away
anger,sociology class felt angry towards members society exploiting polynesian people dawn raids police martin luther king blacks reflection shortcomings
joy,good morning john
sadness,fell hurt arm
neutral,whoa
anger,gone vacation mother left home without leaving thing money come back school
anger,home filling tax report nobody time help would liked quickly could go meet friend mine returned hospital got angry brother father refused give calculator asked nicely could leave wait help tax report done
sadness,single
anger,clearly miffed failure resolution communists opened attack thursday another front threatening torpedo budget refusing take part final vote friday
joy,seeing friend seen long
fear,king universally popular owed throne assassination must sensitive issue maybe sometimes nervous joining large assemblies armed men
anger,sure finished
fear,time came see dead bodies operate
sadness,saddened learn people conference failed develop strategies action
fear,remember fear exist anywhere except mind dale carnegie
fear,even spoke saw dawning horror eyes
anger,pointed problem child primary school mother took teacher point view
sadness,felt sad father sick
sadness,become depressed real prospect newness decided enjoy chains masochistically dwelling miseries inadequacies
joy,happy family must relieved excited
anger,serena torn sisterly love annoyance stella aggressive insecurity
sadness,three candles colour represent sorrow failure love many parts lives
sadness,sad hear brother motorbike accident
sadness,girlfriend guess playing army game
fear,come home late night
sadness,beloved grandfather died
sadness,relationship boyfriend finished succeed years course
anger,mad boy village boy hit raw paw paw face
joy,situation felt happiest life person love first time
sadness,younger good apparatus gymnastics always competitions fourth place
joy,winning rowing race karapiro regatta friends
joy,got good grade one midterms weeks ago
anger,first anne felt indignant joe thought realised good sense warning
sadness,grandfathers died realized much would miss
neutral,yeah fun remain professional get distracted manager would pretty upset
fear,included questionnaire
joy,admitted bulgarian state conservatoire
anger,found cousin mine taken away trousers without consent
anger,mother carried using mental pressure concerning something serious real burden
sadness,elder brother died
fear,well saw horror movie last night almost frightened death
neutral,sure ask directions coffee shop
anger,gave little grunt exasperation
joy,attended concert pop singer
sadness,quarrelled younger sister said something boyfriend consequently looked saw thought trying separate misunderstood
fear,ten cold frightened men climbed trench listened young officer cynical silence
joy,girlfriend almost like daughter studying station get see year arrival always joyous one
fear,going alone dark
anger,use lie parets two times felt anger doubted said going club believe day met fliperama wish kill
sadness,matter fact bit upset came meeting go well
fear,rachel mother looked agitated
neutral,yuan
sadness,deceived people ran trouble
neutral,need frustrated
neutral,cool
fear,emotion came misbehaved school principal threatened going expelled
sadness,went visit mother residence crying said die believed complaints continously thought possibility loosing
fear,upon reading story serial killer name henry lee lucas given distinction killing people man began wonder take care safety
anger,oh shut fault kept quite would never happened
sadness,sorry decided yet mind giving couple minutes
neutral,first go city centre stop something drink visit university museum
neutral,many minutes
sadness,sitting bus heard behind voice girl friendly talking time another girl decided fact someone miming finally looked talking friend time
sadness,pity
joy,coins small competion
fear,decided propose man liked make trip together one day breakfast told idea afraid accepting idea would end failure
joy,former boyfriend reconciled decided important always wanted us get back together doubted likelihood happy small amount faith vindicated
joy,patient kind fun smart caring yet strict really learned lot
sadness,one night dear person said hate course impulse person feel person expressed regret everything settled forget
sadness,feeling dissapointed
sadness,dissapointed
sadness,feeling well tbh
joy,get black ball
fear,walking car night thought followed
anger,well nothing height
joy,jeweller overjoyed began spending heavily
anger,trust
anger,angry granted leave pass last weekend
joy,glad straightened everything
neutral,pounds
sadness,watching programme starving refugees plight source sadness
fear,government expressed horror attacks police also need act
anger,rebels want government recognize legitimate force change miffed bill referred vague terms dissenting groups chiapas
fear,spies everywhere fruits big land giants lord told take land
neutral,oh
joy,finished project overjoyed felt relieved due next day tired looking
anger,accused something done
neutral,know
sadness,doubt
joy,worked lawyer office summer got good reference
joy,trying hide enormous delight return juliet turned david
sadness,people became sad worried
anger,exhausting day came home wanted take bath relax father wanted take bath first finished hour hot water left
anger,felt much anger perhaps feel till girlfriend sister incited betray needed much think anything simply passed everything
anger,getting vexed
